company,location,country,stage,funds_raised_millions,year
Britishvolt,London,United Kingdom,Unknown,2400,2023
Deliveroo Australia,Melbourne,Australia,Post-IPO,1700,2022
Katerra,SF Bay Area,United States,Unknown,1600,2021
Convoy,Seattle,United States,Series E,1100,2023
Cue Health,San Diego,United States,Post-IPO,899,2024
Openpay,Melbourne,Australia,Post-IPO,299,2023
Ghost Autonomy,SF Bay Area,United States,Series E,247,2024
Zulily,Seattle,United States,Acquired,194,2023
Simple Feast,Copenhagen,Denmark,Unknown,173,2022
ZestMoney,Bengaluru,India,Series C,120,2023
Drizly,Boston,United States,Acquired,119,2024
Reali,SF Bay Area,United States,Series B,117,2022
Bluprint,Denver,United States,Acquired,108,2020
HOOQ,Singapore,Singapore,Unknown,95,2020
Milkrun,Sydney,Australia,Series A,86,2023
Phantom Auto,SF Bay Area,United States,Unknown,86,2024
Bitwise,SF Bay Area,United States,Series B,84,2023
Deliv,SF Bay Area,United States,Series C,80,2020
Stay Alfred,Spokane,United States,Series B,62,2020
Hubba,Toronto,Canada,Series B,61,2021
Butler Hospitality,New York City,United States,Series B,50,2022
Bridge Connector,Nashville,United States,Series B,45,2020
Buy.com / Rakuten,SF Bay Area,United States,Acquired,42,2020
Fifth Season,Pittsburgh,United States,Series B,35,2022
Frontdesk,Milwaukee,United States,Unknown,26,2024
WanderJaunt,SF Bay Area,United States,Series B,26,2022
Amplero,Seattle,United States,Series B,25,2020
Pocketmath,Singapore,Singapore,Unknown,20,2021
DeepVerge,Dublin,Ireland,Post-IPO,20,2023
Metigy,Sydney,Australia,Series B,18,2022
Soluto,Tel Aviv,Israel,Acquired,18,2022
BeyondMinds,Tel Aviv,Israel,Series A,16,2022
Jump,New York City,United States,Acquired,11,2020
Playdots,New York City,United States,Acquired,10,2022
Ahead,SF Bay Area,United States,Unknown,9,2022
SummerBio,SF Bay Area,United States,Unknown,7,2022
Help.com,Austin,United States,Seed,6,2020
The Grommet,Boston,United States,Acquired,5,2022
Planetly,Berlin,Germany,Acquired,5,2022
Consider.co,SF Bay Area,United States,Seed,5,2020
SEND,Sydney,Australia,Seed,3,2022
Crejo.Fun,Bengaluru,India,Seed,3,2022
Dark,SF Bay Area,United States,Seed,3,2020
Udayy,Gurugram,India,Seed,2,2022
Dealtale,Tel Aviv,United States,Acquired,2,2023
TutorMundi,Sao Paulo,Brazil,Series A,2,2020
Dropp,Berlin,Germany,Unknown,2,2023
Atsu,Seattle,United States,Unknown,1,2020
Kitty Hawk,SF Bay Area,United States,Unknown,1,2022
Eatsy,Singapore,Singapore,Seed,1,2020
Glisser,London,United Kingdom,Unknown,1,2023
